
-------------------------------
number of philos 5
[71]: 5 is thinking
[71]: 5 is sleeping
[71]: 3 is thinking
[71]: 3 is sleeping
[72]: 1 is thinking
[72]: 1 is sleeping
[72]: 4 is thinking
[72]: 4 is sleeping
[72]: 2 is thinking
[72]: 2 is sleeping
[72]: 5 is thinking
[72]: 5 is sleeping
[73]: 3 is thinking
[73]: 3 is sleeping
[73]: 1 is thinking
[73]: 1 is sleeping
[73]: 4 is thinking
[73]: 4 is sleeping
[73]: 2 is thinking
[73]: 2 is sleeping
[74]: 5 is thinking
[74]: 5 is sleeping
[74]: 3 is thinking
[74]: 3 is sleeping
[74]: 1 is thinking
[74]: 1 is sleeping
[74]: 4 is thinking
[74]: 4 is sleeping
[75]: 2 is thinking
[75]: 2 is sleeping
[75]: 5 is thinking
[75]: 5 is sleeping
[75]: 3 is thinking
[75]: 3 is sleeping
[75]: 1 is thinking
[75]: 1 is sleeping
[76]: 4 is thinking
[76]: 4 is sleeping
[76]: 2 is thinking
[76]: 2 is sleeping
[76]: 5 is thinking
[76]: 5 is sleeping
[76]: 3 is thinking
[76]: 3 is sleeping
[77]: 1 is thinking
[77]: 1 is sleeping
[77]: 4 is thinking
[77]: 4 is sleeping
[77]: 2 is thinking
[77]: 2 is sleeping
[78]: 5 is thinking
[78]: 5 is sleeping
[78]: 3 is thinking
[78]: 3 is sleeping
[78]: 1 is thinking
[78]: 1 is sleeping
[78]: 4 is thinking
[78]: 4 is sleeping
[79]: 2 is thinking
[79]: 2 is sleeping
[79]: 5 is thinking
[79]: 5 is sleeping
[79]: 3 is thinking
[79]: 3 is sleeping
[79]: 1 is thinking
[79]: 1 is sleeping
[80]: 4 is thinking
[80]: 4 is sleeping
[80]: 2 is thinking
[80]: 2 is sleeping
[80]: 5 is thinking
[80]: 5 is sleeping
[80]: 3 is thinking
[80]: 3 is sleeping
[81]: 1 is thinking
[81]: 1 is sleeping
[81]: 4 is thinking
[81]: 4 is sleeping
[81]: 2 is thinking
[81]: 2 is sleeping
[81]: 5 is thinking
[81]: 5 is sleeping
[82]: 3 is thinking
[82]: 3 is sleeping
[82]: 1 is thinking
[82]: 1 is sleeping
[82]: 4 is thinking
[82]: 4 is sleeping
[82]: 2 is thinking
[82]: 2 is sleeping
[83]: 5 is thinking
[83]: 5 is sleeping
[83]: 3 is thinking
[83]: 3 is sleeping
[83]: 1 is thinking
[83]: 1 is sleeping
[83]: 4 is thinking
[83]: 4 is sleeping
[84]: 2 is thinking
[84]: 2 is sleeping
[84]: 5 is thinking
[84]: 5 is sleeping
[84]: 3 is thinking
[84]: 3 is sleeping
[84]: 1 is thinking
[84]: 1 is sleeping
[85]: 4 is thinking
[85]: 4 is sleeping
[85]: 2 is thinking
[85]: 2 is sleeping
[85]: 5 is thinking
[85]: 5 is sleeping
[85]: 3 is thinking
[85]: 3 is sleeping
[86]: 1 is thinking
[86]: 1 is sleeping
[86]: 4 is thinking
[86]: 4 is sleeping
[86]: 2 is thinking
[86]: 2 is sleeping
[87]: 5 is thinking
[87]: 5 is sleeping
[87]: 3 is thinking
[87]: 3 is sleeping
[87]: 1 is thinking
[87]: 1 is sleeping
[87]: 4 is thinking
[87]: 4 is sleeping
[88]: 2 is thinking
[88]: 2 is sleeping
[88]: 5 is thinking
[88]: 5 is sleeping
[88]: 3 is thinking
[88]: 3 is sleeping
[88]: 1 is thinking
[88]: 1 is sleeping
[89]: 4 is thinking
[89]: 4 is sleeping
[89]: 2 is thinking
[89]: 2 is sleeping
[89]: 5 is thinking
[89]: 5 is sleeping
[89]: 3 is thinking
[89]: 3 is sleeping
[90]: 1 is thinking
[90]: 1 is sleeping
[90]: 4 is thinking
[90]: 4 is sleeping
[90]: 2 is thinking
[90]: 2 is sleeping
[90]: 5 is thinking
[90]: 5 is sleeping
[91]: 3 is thinking
[91]: 3 is sleeping
[91]: 1 is thinking
[91]: 1 is sleeping
[91]: 4 is thinking
[91]: 4 is sleeping
[91]: 2 is thinking
[91]: 2 is sleeping
[92]: 5 is thinking
[92]: 5 is sleeping
[92]: 3 is thinking
[92]: 3 is sleeping
[92]: 1 is thinking
[92]: 1 is sleeping
[92]: 4 is thinking
[92]: 4 is sleeping
[93]: 2 is thinking
[93]: 2 is sleeping
[93]: 5 is thinking
[93]: 5 is sleeping
[93]: 3 is thinking
[93]: 3 is sleeping
[93]: 1 is thinking
[93]: 1 is sleeping
[94]: 4 is thinking
[94]: 4 is sleeping
[94]: 2 is thinking
[94]: 2 is sleeping
[94]: 5 is thinking
[94]: 5 is sleeping
[94]: 3 is thinking
[94]: 3 is sleeping
[95]: 1 is thinking
[95]: 1 is sleeping
[95]: 4 is thinking
[95]: 4 is sleeping
[95]: 2 is thinking
[95]: 2 is sleeping
[96]: 5 is thinking
[96]: 5 is sleeping
[96]: 3 is thinking
[96]: 3 is sleeping
[96]: 1 is thinking
[96]: 1 is sleeping
[96]: 4 is thinking
[96]: 4 is sleeping
[97]: 2 is thinking
[97]: 2 is sleeping
[97]: 5 is thinking
[97]: 5 is sleeping
[97]: 3 is thinking
[97]: 3 is sleeping
[97]: 1 is thinking
[97]: 1 is sleeping
[98]: 4 is thinking
[98]: 4 is sleeping
[98]: 2 is thinking
[98]: 2 is sleeping
[98]: 5 is thinking
[98]: 5 is sleeping
[98]: 3 is thinking
[98]: 3 is sleeping
[99]: 1 is thinking
[99]: 1 is sleeping
[99]: 4 is thinking
[99]: 4 is sleeping
[99]: 2 is thinking
[99]: 2 is sleeping
[99]: 5 is thinking
[99]: 5 is sleeping
[100]: 3 is thinking
[100]: 3 is sleeping
[100]: 1 is thinking
[100]: 1 is sleeping
[100]: 4 is thinking
[100]: 4 is sleeping
[100]: 2 is thinking
[100]: 2 is sleeping
[101]: 5 is thinking
[101]: 5 is sleeping
[101]: 3 is thinking
[101]: 3 is sleeping
[101]: 1 is thinking
[101]: 1 is sleeping
[101]: 4 is thinking
[101]: 4 is sleeping
[102]: 2 is thinking
[102]: 2 is sleeping
[102]: 5 is thinking
[102]: 5 is sleeping
[102]: 3 is thinking
[102]: 3 is sleeping
[102]: 1 is thinking
[102]: 1 is sleeping
[103]: 4 is thinking
[103]: 4 is sleeping
[103]: 2 is thinking
[103]: 2 is sleeping
[103]: 5 is thinking
[103]: 5 is sleeping
[103]: 3 is thinking
[103]: 3 is sleeping
[104]: 1 is thinking
[104]: 1 is sleeping
[104]: 4 is thinking
[104]: 4 is sleeping
[104]: 2 is thinking
[104]: 2 is sleeping
[104]: 5 is thinking
[104]: 5 is sleeping
[105]: 3 is thinking
[105]: 3 is sleeping
[105]: 1 is thinking
[105]: 1 is sleeping
[105]: 4 is thinking
[105]: 4 is sleeping
[105]: 2 is thinking
[105]: 2 is sleeping
[106]: 5 is thinking
[106]: 5 is sleeping
[106]: 3 is thinking
[106]: 3 is sleeping
[106]: 1 is thinking
[106]: 1 is sleeping
[107]: 4 is thinking
[107]: 4 is sleeping
[107]: 2 is thinking
[107]: 2 is sleeping
[107]: 5 is thinking
[107]: 5 is sleeping
[107]: 3 is thinking
[107]: 3 is sleeping
[108]: 1 is thinking
[108]: 1 is sleeping
[108]: 4 is thinking
[108]: 4 is sleeping
[108]: 2 is thinking
[108]: 2 is sleeping
[108]: 5 is thinking
[108]: 5 is sleeping
[109]: 3 is thinking
[109]: 3 is sleeping
[109]: 1 is thinking
[109]: 1 is sleeping
[109]: 4 is thinking
[109]: 4 is sleeping
[109]: 2 is thinking
[109]: 2 is sleeping
[110]: 5 is thinking
[110]: 5 is sleeping
[110]: 3 is thinking
[110]: 3 is sleeping
[110]: 1 is thinking
[110]: 1 is sleeping
[110]: 4 is thinking
[110]: 4 is sleeping
[111]: 2 is thinking
[111]: 2 is sleeping
[111]: 5 is thinking
[111]: 5 is sleeping
[111]: 3 is thinking
[111]: 3 is sleeping
[111]: 1 is thinking
[111]: 1 is sleeping
[112]: 4 is thinking
[112]: 4 is sleeping
[112]: 2 is thinking
[112]: 2 is sleeping
[112]: 5 is thinking
[112]: 5 is sleeping
[112]: 3 is thinking
[112]: 3 is sleeping
[113]: 1 is thinking
[113]: 1 is sleeping
[113]: 4 is thinking
[113]: 4 is sleeping
[113]: 2 is thinking
[113]: 2 is sleeping
[113]: 5 is thinking
[113]: 5 is sleeping
[114]: 3 is thinking
[114]: 3 is sleeping
[114]: 1 is thinking
[114]: 1 is sleeping
[114]: 4 is thinking
[114]: 4 is sleeping
[114]: 2 is thinking
[114]: 2 is sleeping
[115]: 5 is thinking
[115]: 5 is sleeping
[115]: 3 is thinking
[115]: 3 is sleeping
[115]: 1 is thinking
[115]: 1 is sleeping
[115]: 4 is thinking
[115]: 4 is sleeping
[116]: 2 is thinking
[116]: 2 is sleeping
[116]: 5 is thinking
[116]: 5 is sleeping
[116]: 3 is thinking
[116]: 3 is sleeping
[117]: 1 is thinking
[117]: 1 is sleeping
[117]: 4 is thinking
[117]: 4 is sleeping
[117]: 2 is thinking
[117]: 2 is sleeping
[117]: 5 is thinking
[117]: 5 is sleeping
[118]: 3 is thinking
[118]: 3 is sleeping
[118]: 1 is thinking
[118]: 1 is sleeping
[118]: 4 is thinking
[118]: 4 is sleeping
[118]: 2 is thinking
[118]: 2 is sleeping
[119]: 5 is thinking
[119]: 5 is sleeping
[119]: 3 is thinking
[119]: 3 is sleeping
[119]: 1 is thinking
[119]: 1 is sleeping
[119]: 4 is thinking
[119]: 4 is sleeping
[120]: 2 is thinking
[120]: 2 is sleeping
[120]: 5 is thinking
[120]: 5 is sleeping
[120]: 3 is thinking
[120]: 3 is sleeping
[120]: 1 is thinking
[120]: 1 is sleeping
[121]: 4 is thinking
[121]: 4 is sleeping
[121]: 2 is thinking
[121]: 2 is sleeping
[121]: 5 is thinking
[121]: 5 is sleeping
[121]: 3 is thinking
[121]: 3 is sleeping
[122]: 1 is thinking
[122]: 1 is sleeping
[122]: 4 is thinking
[122]: 4 is sleeping
[122]: 2 is thinking
[122]: 2 is sleeping
[122]: 5 is thinking
[122]: 5 is sleeping
[123]: 3 is thinking
[123]: 3 is sleeping
[123]: 1 is thinking
[123]: 1 is sleeping
[123]: 4 is thinking
[123]: 4 is sleeping
[123]: 2 is thinking
[123]: 2 is sleeping
[124]: 5 is thinking
[124]: 5 is sleeping
[124]: 3 is thinking
[124]: 3 is sleeping
[124]: 1 is thinking
[124]: 1 is sleeping
[124]: 4 is thinking
[124]: 4 is sleeping
[125]: 2 is thinking
[125]: 2 is sleeping
[125]: 5 is thinking
[125]: 5 is sleeping
[125]: 3 is thinking
[125]: 3 is sleeping
[126]: 1 is thinking
[126]: 1 is sleeping
[126]: 4 is thinking
[126]: 4 is sleeping
[126]: 2 is thinking
[126]: 2 is sleeping
[126]: 5 is thinking
[126]: 5 is sleeping
[127]: 5 is thinking
[127]: 5 is sleeping
[127]: 5 is thinking
[127]: 5 is sleeping
[127]: 4 is thinking
[127]: 4 is sleeping
[127]: 2 is thinking
[127]: 2 is sleeping
[128]: 2 is thinking
[128]: 2 is sleeping
[128]: 2 is thinking
[128]: 2 is sleeping
[128]: 5 is thinking
[128]: 5 is sleeping
[128]: 5 is thinking
[128]: 5 is sleeping
[129]: 3 is thinking
[129]: 3 is sleeping
[129]: 3 is thinking
[129]: 3 is sleeping
[129]: 3 is thinking
[129]: 3 is sleeping
[129]: 4 is thinking
[129]: 4 is sleeping
[130]: 4 is thinking
[130]: 4 is sleeping
[130]: 1 is thinking
[130]: 1 is sleeping
[130]: 2 is thinking
[130]: 2 is sleeping
[130]: 3 is thinking
[130]: 3 is sleeping
[131]: 5 is thinking
[131]: 5 is sleeping
[131]: 4 is thinking
[131]: 4 is sleeping
[131]: 1 is thinking
[131]: 1 is sleeping
[131]: 2 is thinking
[131]: 2 is sleeping
[132]: 3 is thinking
[132]: 3 is sleeping
[132]: 5 is thinking
[132]: 5 is sleeping
[132]: 4 is thinking
[132]: 4 is sleeping
[133]: 1 is thinking
[133]: 1 is sleeping
[133]: 2 is thinking
[133]: 2 is sleeping
[133]: 3 is thinking
[133]: 3 is sleeping
[133]: 5 is thinking
[133]: 5 is sleeping
[134]: 4 is thinking
[134]: 4 is sleeping
[134]: 4 is thinking
[134]: 4 is sleeping
[134]: 2 is thinking
[134]: 2 is sleeping
[134]: 3 is thinking
[134]: 3 is sleeping
[135]: 5 is thinking
[135]: 5 is sleeping
[135]: 1 is thinking
[135]: 1 is sleeping
[135]: 4 is thinking
[135]: 4 is sleeping
[135]: 2 is thinking
[135]: 2 is sleeping
[136]: 3 is thinking
[136]: 3 is sleeping
[136]: 5 is thinking
[136]: 5 is sleeping
[136]: 1 is thinking
[136]: 1 is sleeping
[136]: 4 is thinking
[136]: 4 is sleeping
[137]: 2 is thinking
[137]: 2 is sleeping
[137]: 3 is thinking
[137]: 3 is sleeping
[137]: 5 is thinking
[137]: 5 is sleeping
[137]: 1 is thinking
[137]: 1 is sleeping
[138]: 4 is thinking
[138]: 4 is sleeping
[138]: 2 is thinking
[138]: 2 is sleeping
[138]: 2 is thinking
[138]: 2 is sleeping
[138]: 5 is thinking
[138]: 5 is sleeping
[139]: 1 is thinking
[139]: 1 is sleeping
[139]: 4 is thinking
[139]: 4 is sleeping
[139]: 3 is thinking
[139]: 3 is sleeping
[139]: 2 is thinking
[139]: 2 is sleeping
[140]: 5 is thinking
[140]: 5 is sleeping
[140]: 1 is thinking
[140]: 1 is sleeping
[140]: 4 is thinking
[140]: 4 is sleeping
[140]: 3 is thinking
[140]: 3 is sleeping
[141]: 2 is thinking
[141]: 2 is sleeping
[141]: 5 is thinking
[141]: 5 is sleeping
[141]: 1 is thinking
[141]: 1 is sleeping
[142]: 4 is thinking
[142]: 4 is sleeping
[142]: 3 is thinking
[142]: 3 is sleeping
[142]: 2 is thinking
[142]: 2 is sleeping
[142]: 5 is thinking
[142]: 5 is sleeping
[143]: 1 is thinking
[143]: 1 is sleeping
[143]: 4 is thinking
[143]: 4 is sleeping
[143]: 3 is thinking
[143]: 3 is sleeping
[143]: 2 is thinking
[143]: 2 is sleeping
